@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1588,490808,1333,309,1986,20480,2368,150977,590027639,1477785,19112273,2741434,1094,1000,63540,53324,vpn
2133,666104,1774,312,1500,14640,1567,160839,590025602,2083041,16485456,2802084,1465,1309,85340,70964,vpn
1623,578744,1391,356,2068,13180,1439,150560,590026506,1443082,17957791,2869823,1164,978,64940,55644,vpn
1742,568144,1460,326,2960,14640,1635,156790,590026305,1166611,8894384,1857540,1154,1061,69700,58404,vpn
2832,894056,2365,315,1500,13180,1587,136739,590026510,2087435,18357119,3280813,1992,1749,113300,94604,vpn
1402,430356,1197,306,1500,14640,1429,151445,590025390,1827303,9549005,2347180,992,891,56100,47884,vpn
40,7590,35,189,1500,1500,310,254560,590026296,351133,1107619,374879,25,16,1620,1404,vpn
1742,709696,1506,407,2902,19020,2211,142698,590011597,1428187,8884851,2061887,1274,1074,69700,60244,vpn
1588,481550,1364,303,2960,10260,1269,161241,590022093,1623410,16100441,2445623,1087,1009,63540,54564,vpn
1035,275050,851,265,1750,13180,1315,157663,590025134,1085595,3694071,1031984,665,612,41420,34044,vpn
204,58792,189,288,1500,1500,185,283576,590020927,1382278,10188953,2359143,169,56,8180,7564,vpn
1514,445478,1251,294,1530,11720,1504,147296,590025489,1422903,15923136,2444140,1030,965,60580,50044,vpn
40,7590,34,189,1500,1198,291,248222,590024336,363473,1109784,361100,25,17,1620,1364,vpn
2274,746584,1945,328,3520,14640,1753,127047,590024795,1542260,9218481,2162331,1505,1505,90980,77804,vpn
956,306944,829,321,1500,14640,1709,165725,590013149,1287388,7709883,1891363,676,592,38260,33164,vpn
504,115744,426,229,1500,8800,854,176286,590024986,900084,7771860,1307439,344,291,20180,17044,vpn
1667,504148,1385,302,1500,19020,1422,147625,590026221,1349919,15201567,2095132,1102,1010,66700,55404,vpn
880,249320,756,283,1500,11720,1368,147787,590024722,1053983,6623019,1440887,627,547,35220,30244,vpn
120,25640,111,213,1500,5880,974,181829,590026899,461802,2096480,562784,79,63,4820,4444,vpn
2371,569266,2386,240,1500,21940,2769,85920,590027189,916339,6124504,1239174,1515,2028,94860,95444,vpn
969,278428,806,287,1500,7340,1013,157032,590026511,1247229,6441135,1535276,657,585,38780,32244,vpn
