@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
177,59218,159,23564,40,334,1500,370,40,148,1500,240,18,177716,1102772,254474,129,213641,1054970,232190,590026033,27700,958380,10260049,1816083,1058103,18043801,120236989,31876372,5,1850,4,736,141,61,0,0,7100,6364,vpn
500,145364,408,188363,40,290,1500,387,40,461,7340,1014,24,75831,978818,156283,10,98250,1217345,166603,590032111,28222,1199733,4752466,1236921,1057810,17794859,340847501,60746934,15,4542,12,5886,342,275,0,0,20020,16324,vpn
3122,1054076,2609,1692974,40,337,2960,443,40,648,14640,1341,11,78310,1141192,148497,4,94843,1145643,162367,590020681,26601,1821026,15724230,2378944,1012313,2635031,11233909,1556829,23,7925,19,12729,2126,1780,0,0,124900,104364,vpn
40,7590,34,6688,40,189,1500,309,40,196,1500,313,188,100760,969377,231818,42,151784,1048444,248532,590028442,3189,341812,1104570,371283,1043985,53266063,539024495,161132866,3,632,2,557,24,17,0,0,1620,1364,vpn
40,7590,34,6688,40,189,1500,287,40,196,1500,313,56,98385,974251,232591,383,153229,1058422,250474,590025931,27386,334283,1108005,374167,1064341,53274047,538894085,161086249,3,632,2,557,25,16,0,0,1620,1364,vpn
1658,603416,1470,1575069,40,363,1500,432,40,1071,20480,1710,11,44779,1069249,104020,2,51473,1039432,111127,590012113,28325,1514757,17977235,3111258,1013109,10495393,167830985,25995419,33,12068,29,31501,1157,1086,0,0,66340,58804,vpn
1723,520440,1461,1282033,40,302,1614,387,40,877,14640,1721,13,72077,976321,155951,2,84583,997608,164711,590025715,155,1639288,14930016,2361460,1012073,6420799,52768431,8688989,23,7032,19,17324,1197,1102,0,0,68940,58444,vpn
40,7590,35,6728,40,189,1500,287,40,192,1500,310,65,95406,973519,232922,397,144960,1051189,249580,590026950,19496,333274,1108037,371493,1047243,53275241,538933626,161099036,3,632,2,560,25,16,0,0,1620,1404,vpn
1867,601478,1609,1378551,40,322,2960,403,40,856,14640,1421,14,61796,1153942,137007,1,71551,1209832,142154,590025232,27459,1241245,15705629,2256345,1016327,5228908,54125248,7908524,20,6537,17,14984,1299,1194,0,0,74700,64364,vpn
18644,7211034,16535,30945115,40,386,4186,458,40,1871,46760,3264,8,29135,1093111,63372,1,32887,1148136,70015,590025116,29238,22671588,294805786,62340635,1002617,1995955,5931802,1427575,776,300459,688,1289379,12877,12846,0,0,745780,661404,vpn
4461,1237058,4096,14332205,40,277,1500,319,40,3499,26320,3627,9,24825,976049,82943,1,27144,1008508,87245,590026584,28562,1538511,14420892,2415319,1067039,6634934,56607174,11156957,61,16946,56,196331,3117,3591,0,0,178460,163844,vpn
29,4629,22,3849,40,159,1376,271,40,174,824,210,27,34025,207264,44433,11,38396,209341,45549,60162845,55496,294891,710434,361257,4665021,29639086,54613151,35318661,9,1543,7,1283,18,16,0,0,1180,884,vpn
787,311440,689,644446,40,395,2960,464,40,935,13180,1564,11,55486,972471,135481,4,69582,1102881,134330,590020869,32407,1119922,9216712,1706252,1021726,13243515,58807378,17900469,18,7415,16,15343,592,444,0,0,31500,27564,vpn
1174,358802,982,539902,40,305,2960,408,40,549,7340,1035,7,77640,1170403,154453,1,90197,1044456,164834,590026316,29148,770230,8839817,1282350,1022190,4538383,54712453,8400399,10,3203,8,4820,809,677,0,0,46980,39284,vpn
836,384020,686,645092,40,459,2960,531,40,940,8800,1493,14,42679,973744,112008,1,53674,1199393,120648,590028055,66751,1604402,9819421,2556151,1064660,25142126,282476380,60728102,36,16696,29,28047,550,479,0,0,33460,27444,vpn
1518,459960,1270,856727,40,303,1500,390,40,674,19020,1364,8,66723,1054918,146859,3,80899,995181,153167,590026123,11047,1647014,14778138,2993115,1042326,8159304,46136566,10441394,24,7540,20,14044,1017,961,0,0,60740,50804,vpn
39,7550,34,6688,40,193,1500,313,40,196,1500,316,164,119169,972781,241115,46,162865,1082993,290479,590026374,27158,379126,1110593,368580,1054498,53225168,539061958,161158202,3,629,2,557,24,16,0,0,1580,1364,vpn
