@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
2835,863276,2600,7817014,40,304,1884,388,40,3006,23400,3865,6,33252,1047610,100090,1,35452,1072001,101414,590011062,27952,1093216,14492893,2128569,1008763,5835228,46992566,7551752,32,10038,30,90895,1716,2201,0,0,113420,104004,vpn
40,7408,35,6792,40,185,1500,310,40,194,1500,310,16,103294,972152,237102,33,147791,1083488,256871,590025578,27442,346733,1111607,382059,1053004,53260433,539364541,161247004,3,617,2,566,23,17,0,0,1620,1404,vpn
548,141456,508,1104721,40,258,2136,335,40,2174,19020,3384,8,43907,973109,127422,2,51278,1009383,119091,590027401,21241,764246,4880932,1030531,1061835,17092213,73478213,19177168,16,4160,14,32491,357,387,0,0,21940,20324,vpn
292,93608,262,140092,40,320,1500,374,40,534,4420,823,10,68243,976886,158874,7,79780,1093556,146387,590029213,11754,848933,3149365,1027538,1080910,24767600,204015086,51062794,12,3900,10,5837,217,182,0,0,11700,10484,vpn
365,107136,327,199146,40,293,1500,362,40,609,7340,1107,13,69457,973485,153872,8,82417,1213779,156277,590025275,65638,852670,4838067,1113492,1058671,18786415,90058730,24851109,11,3456,10,6424,260,230,0,0,14620,13084,vpn
2349,736170,1999,1579280,40,313,2566,389,40,790,11720,1436,12,65385,1060502,143307,2,77054,1170392,151530,590028167,23,1377703,15656030,2178018,1015149,4022759,30958565,3650673,21,6692,18,14357,1682,1496,0,0,93980,79964,vpn
2833,699912,2451,2690133,40,247,1500,306,40,1097,21940,2186,12,90665,1177555,187672,1,107711,1055559,190166,590024991,27344,1804995,16322646,1995286,1002344,2366777,5582241,1101742,19,4928,17,18944,1993,1742,0,0,113340,98044,vpn
556,128128,478,165394,40,230,1500,294,40,346,5880,700,22,101160,972785,178041,55,123017,1089418,175510,590024733,26867,1393988,8221464,1799171,1063086,13699107,117344201,24387133,13,3203,11,4134,386,311,0,0,22260,19124,vpn
908,250152,771,422849,40,275,1500,354,40,548,11720,1158,16,76578,1065160,165876,10,92582,1055243,166766,590023431,18,1750666,11105443,2116074,1055220,13333250,81220737,19257106,22,6253,19,10571,647,542,0,0,36340,30844,vpn
1457,435286,1188,945955,40,298,1646,381,40,796,14640,1567,11,78164,1090728,149673,6,97116,1046678,167456,590026830,27722,1298050,14839163,2218814,1060908,5628170,44907836,6582472,16,5061,13,10999,1011,878,0,0,58300,47524,vpn
1175,324072,1112,1662088,40,275,1500,357,40,1494,17560,2163,8,50923,1156015,139356,2,54985,1225233,136990,590024818,21,878562,10124750,1572027,1013532,7659789,120131538,15616295,16,4629,15,23744,785,858,0,0,47020,44484,vpn
1356,467468,1125,1154326,40,344,2960,425,40,1026,16100,2085,13,55287,995779,131631,3,67342,1102548,146501,590016190,32,870536,15908755,2119111,1010286,6143102,56146711,8425669,15,5499,13,13580,960,837,0,0,54260,45004,vpn
1822,581084,1526,1424694,40,318,2812,397,40,933,16100,1948,13,79837,1055761,156589,2,96185,1150868,172926,590026433,28084,1813099,9812762,2523756,1015844,5632638,58901942,9677314,22,7263,19,17808,1272,1057,0,0,72900,61044,vpn
