@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1424,411698,1191,289,2960,10260,1114,144704,590024274,1016669,6479276,1463234,970,831,56980,47644,vpn
67,11722,56,174,1500,2960,451,213093,590024566,314682,1103999,339174,40,32,2700,2244,vpn
798,229794,657,287,2960,13180,1138,135107,590026104,887128,7510253,1217699,506,440,31940,26284,vpn
3406,1164600,3241,341,3080,33620,4515,91140,590025102,1076225,13507830,2094966,2162,2800,136260,129644,vpn
1047,321222,870,306,2960,14640,1250,185944,590025054,1020864,9476272,1699764,710,608,41900,34804,vpn
1099,345154,964,314,2960,14640,1701,170863,590025755,1230731,8556194,1687867,744,699,43980,38564,vpn
1238,399122,1070,322,2960,16100,1676,178913,590028186,1107119,8530837,1702182,838,756,49540,42804,vpn
2981,917734,2503,307,3184,21940,1808,148809,590025501,2315824,20901174,3512190,2105,1873,119260,100124,vpn
2069,662654,1730,320,1500,17560,1905,151805,590032555,2175024,18633770,3488029,1439,1269,82780,69204,vpn
67,12202,58,182,1500,2960,449,192518,590025813,326962,1108940,328113,39,33,2700,2324,vpn
1400,385464,1158,275,1500,14640,1827,154616,590025254,1292334,15245683,2251112,961,869,56020,46324,vpn
649,177192,593,273,1500,14640,1814,134132,590026027,707781,9013708,1340706,470,414,25980,23724,vpn
507,126924,460,250,2960,8800,1222,165123,590026397,777123,7342378,1371301,348,334,20300,18404,vpn
5394,1450026,4920,268,1648,21940,3247,130863,975800461,1094702,13178465,1711531,3395,3892,215780,196804,vpn
2277,676378,2021,297,1500,26320,2032,107367,590026283,1488438,22907576,3251543,1536,1630,91100,80844,vpn
202,48738,174,241,1500,17560,1933,132388,590024637,760816,2557921,722304,141,116,8100,6964,vpn
2763,851166,2547,308,1500,24860,3419,116042,590025880,1449815,16431469,2634843,1799,2169,110540,101884,vpn
1781,580674,1540,326,2960,20480,1994,144976,590024881,1353310,13469527,2205697,1270,1039,71260,61604,vpn
731,228192,621,312,1500,16100,1467,146043,590025598,818401,5496068,1167208,513,426,29260,24844,vpn
1415,545246,1168,385,2960,11720,1339,162201,590027115,1474630,10464190,2234578,965,809,56620,46724,vpn
1213,403364,1039,332,1576,11720,1399,164647,590025225,1467929,10443685,2026213,861,726,48540,41564,vpn
