@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
624,153384,568,318521,40,245,1500,291,40,560,7340,1063,20,72037,1065560,155493,4,87360,1136655,147216,590025222,1497,848871,9064218,1572325,1014875,9863425,52080831,11827614,11,2739,10,5687,454,387,0,0,24980,22724,vpn
925,406436,800,816857,40,439,4420,537,40,1021,11720,1617,14,39967,1277764,113558,1,48618,1172578,112254,590026611,27327,999381,13894346,2296174,1042037,14501335,54194970,17317128,23,10421,20,20945,640,556,0,0,37020,32004,vpn
211,41672,184,81561,40,197,1500,256,40,443,5880,884,35,67468,974484,125834,49,87002,1088926,127770,590030434,27239,411632,2405616,485630,1062150,15966667,137499333,26082589,5,1126,4,2204,134,117,0,0,8460,7364,vpn
174,40660,161,124408,40,233,1500,311,40,772,10260,1265,12,68921,972847,159623,4,79967,1060501,164819,590030197,3141,780751,2497759,889854,1062709,38502545,362655855,92817034,10,2541,10,7775,114,112,0,0,6980,6444,vpn
2534,920088,2145,1562975,40,363,2960,463,40,728,8800,1132,11,60081,1155630,134878,1,73046,1213179,140691,590027544,28508,1539861,9384964,1840938,1027549,4404458,104289957,10367217,25,9200,21,15629,1744,1515,0,0,101380,85804,vpn
556,128128,478,165394,40,230,1500,294,40,346,5880,700,22,101160,972785,178041,55,123017,1089418,175510,590024733,26867,1393988,8221464,1799171,1063086,13699107,117344201,24387133,13,3203,11,4134,386,311,0,0,22260,19124,vpn
1346,417862,1138,807298,40,310,2960,408,40,709,13180,1213,9,64550,1195779,140433,4,76704,1161045,150076,590028234,23,863700,8863601,1508014,1003750,5148182,74689910,10217738,13,4220,11,8154,907,836,0,0,53860,45524,vpn
256,86834,227,146781,40,339,1500,410,40,646,7340,1105,19,49347,973461,131280,12,63289,1035702,128871,590024981,26969,604181,4426361,948175,1059115,26187673,237612558,53466332,11,3775,9,6381,183,146,0,0,10260,9084,vpn
1243,381024,1062,740910,40,306,1500,381,40,697,16100,1313,19,75513,1103012,159881,3,89875,1118732,165442,590025912,23,1681859,17110444,2721170,1060297,9015305,108707310,16807194,22,6804,18,13230,883,748,0,0,49740,42484,vpn
740,171618,692,1069498,40,231,1500,306,40,1545,14640,2652,9,61308,999734,151976,2,68454,1000764,146541,590025461,16354,731643,5286799,1275046,1107312,8773095,151910773,20066071,11,2724,10,16976,484,521,0,0,29620,27684,vpn
1710,475862,1476,896884,40,278,2960,369,40,607,14640,1218,11,87652,1105290,169467,4,102476,1216251,181689,590025051,10642,1721967,13569769,2776546,1036386,5281640,56526118,8044418,20,5598,17,10551,1177,1077,0,0,68420,59044,vpn
