@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
887,255380,751,792936,40,287,2960,385,40,1055,11720,1610,10,53360,973575,117683,3,63262,1187097,132998,590026117,21156,878969,9470161,1502691,1058463,10237014,101843338,17578529,16,4729,13,14684,602,601,0,0,35500,30044,vpn
781,225790,639,453458,40,289,1500,379,40,709,11720,1358,13,75969,974989,151269,3,94685,1114840,163920,590024587,22874,1108566,4907210,1308572,1025120,10216741,240076005,34789034,14,4260,12,8555,515,469,0,0,31260,25564,vpn
2297,751064,1867,1590946,40,326,1572,411,40,852,21940,1811,12,67060,1235583,138740,3,83348,1076282,156401,590026448,19119,1524993,17817599,2482125,1010195,4419465,14110939,3165700,22,7510,18,15909,1575,1384,0,0,91900,74684,vpn
52,9190,41,7933,40,176,1500,256,40,193,1500,288,62,97314,973633,213316,401,160877,1222717,281715,130782563,11182,399586,1249698,400920,1048774,10465661,57041524,15769717,4,706,3,610,32,21,0,0,2100,1644,vpn
364,114308,329,52928,40,314,1500,351,40,160,2960,353,58,186961,1060181,211059,247,210911,1167253,208916,590025614,3078,1228816,15128398,2798460,1010336,10547119,77884318,17298831,7,2241,6,1037,289,117,0,0,14580,13164,vpn
42,7868,34,6688,40,187,1500,281,40,196,1500,313,66,116150,973929,222512,433,150079,994916,234509,590024585,26689,357211,1101571,354057,1060960,53248913,539317768,161235451,3,655,2,557,27,16,0,0,1700,1364,vpn
1968,622282,1655,1285941,40,316,1500,393,40,777,13180,1547,10,75322,1058625,155392,2,91066,1216466,167823,590023421,28342,2287207,15087677,2569310,1008587,6896170,60809317,12030549,30,9573,25,19783,1380,1208,0,0,78740,66204,vpn
920,259544,806,562147,40,282,2960,366,40,697,8800,1257,18,69310,1003081,149548,8,84392,1200151,141954,590029536,27791,1034719,7494249,1387855,1028613,8314404,62565196,10073855,14,4055,12,8783,649,570,0,0,36820,32244,vpn
1066,330154,876,543733,40,309,2960,397,40,620,19020,1594,12,105213,1191352,181575,13,129356,1159173,193088,590028909,1050,1658691,18720300,3059616,1046331,7393157,61514831,12238947,16,5002,13,8238,738,540,0,0,42660,35044,vpn
3657,1157540,3117,3193317,40,316,1500,405,40,1024,23400,1938,8,45255,974949,100587,1,53964,1020020,111496,590023460,13296,1774374,26880972,4384999,1003706,4550884,45093283,7296433,38,12314,33,33971,2485,2487,0,0,146300,124684,vpn
734,195676,595,287901,40,266,2960,403,40,483,10260,969,11,82929,972795,134985,8,101956,1065706,164274,590025654,24661,914683,7697128,1206165,1018978,8436284,252764049,31423150,11,3057,9,4498,452,422,0,0,29380,23804,vpn
1352,377576,1120,685864,40,279,1500,362,40,612,11720,1221,13,77325,1178641,166713,5,94817,1088957,179489,590025485,27639,1515729,17097158,2978268,1011103,7267998,66072066,11550660,19,5552,16,10086,914,846,0,0,54100,44804,vpn
